dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,replicate_id,q,q_plus_1,has_reversal,trace_k_max
diabetes,MAR,random,0.3,5,1000x50,0,8,9.0,True,9
diabetes,MAR,random,0.3,5,1000x50,1,8,9.0,True,9
diabetes,MAR,random,0.3,5,1000x50,2,8,9.0,True,9
diabetes,MAR,random,0.3,5,1000x50,3,8,9.0,True,9
diabetes,MAR,random,0.3,5,1000x50,4,8,9.0,True,9
diabetes,MAR,random,0.3,5,1000x50,5,8,9.0,True,9
diabetes,MAR,random,0.3,5,1000x50,6,8,9.0,True,9
diabetes,MAR,random,0.3,5,1000x50,7,8,9.0,True,9
diabetes,MAR,random,0.3,5,1000x50,8,8,9.0,True,9
diabetes,MAR,random,0.3,5,1000x50,9,8,9.0,True,9
diabetes,MAR,random,0.3,5,1000x50,10,8,9.0,True,9
diabetes,MAR,random,0.3,5,1000x50,11,8,9.0,True,9
diabetes,MAR,random,0.3,5,1000x50,12,8,9.0,True,9
diabetes,MAR,random,0.3,5,1000x50,13,8,9.0,True,9
diabetes,MAR,random,0.3,5,1000x50,14,8,9.0,True,9
diabetes,MAR,random,0.3,5,1000x50,15,8,9.0,True,9
diabetes,MAR,random,0.3,5,1000x50,16,8,9.0,True,9
diabetes,MAR,random,0.3,5,1000x50,17,8,9.0,True,9
diabetes,MAR,random,0.3,5,1000x50,18,8,9.0,True,9
diabetes,MAR,random,0.3,5,1000x50,19,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,0,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,1,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,2,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,3,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,4,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,5,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,6,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,7,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,8,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,9,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,10,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,11,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,12,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,13,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,14,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,15,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,16,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,17,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,18,8,9.0,True,9
diabetes,MAR,random,0.5,5,1000x50,19,8,9.0,True,9
diabetes,MCAR,block,0.1,5,1000x50,0,9,10.0,True,10
diabetes,MCAR,block,0.1,5,1000x50,1,8,9.0,True,9
diabetes,MCAR,block,0.1,5,1000x50,2,8,9.0,True,9
diabetes,MCAR,block,0.1,5,1000x50,3,9,10.0,True,10
diabetes,MCAR,block,0.1,5,1000x50,4,9,10.0,True,10
diabetes,MCAR,block,0.1,5,1000x50,5,9,10.0,True,10
diabetes,MCAR,block,0.1,5,1000x50,6,8,9.0,True,9
diabetes,MCAR,block,0.1,5,1000x50,7,8,9.0,True,9
diabetes,MCAR,block,0.1,5,1000x50,8,8,9.0,True,9
diabetes,MCAR,block,0.1,5,1000x50,9,8,9.0,True,9
diabetes,MCAR,block,0.1,5,1000x50,10,8,9.0,True,9
diabetes,MCAR,block,0.1,5,1000x50,11,8,9.0,True,9
diabetes,MCAR,block,0.1,5,1000x50,12,8,9.0,True,9
diabetes,MCAR,block,0.1,5,1000x50,13,8,9.0,True,9
diabetes,MCAR,block,0.1,5,1000x50,14,8,9.0,True,9
diabetes,MCAR,block,0.1,5,1000x50,15,8,9.0,True,9
diabetes,MCAR,block,0.1,5,1000x50,16,9,10.0,True,10
diabetes,MCAR,block,0.1,5,1000x50,17,9,10.0,True,10
diabetes,MCAR,block,0.1,5,1000x50,18,8,9.0,True,9
diabetes,MCAR,block,0.1,5,1000x50,19,8,9.0,True,9
diabetes,MCAR,block,0.3,5,1000x50,0,7,8.0,True,8
diabetes,MCAR,block,0.3,5,1000x50,1,9,10.0,True,10
diabetes,MCAR,block,0.3,5,1000x50,2,7,8.0,True,8
diabetes,MCAR,block,0.3,5,1000x50,3,7,8.0,True,8
diabetes,MCAR,block,0.3,5,1000x50,4,9,10.0,True,10
diabetes,MCAR,block,0.3,5,1000x50,5,7,8.0,True,8
diabetes,MCAR,block,0.3,5,1000x50,6,9,10.0,True,10
diabetes,MCAR,block,0.3,5,1000x50,7,9,10.0,True,10
diabetes,MCAR,block,0.3,5,1000x50,8,9,10.0,True,10
diabetes,MCAR,block,0.3,5,1000x50,9,8,9.0,True,9
diabetes,MCAR,block,0.3,5,1000x50,10,7,8.0,True,8
diabetes,MCAR,block,0.3,5,1000x50,11,8,9.0,True,9
diabetes,MCAR,block,0.3,5,1000x50,12,8,9.0,True,9
diabetes,MCAR,block,0.3,5,1000x50,13,7,8.0,True,8
diabetes,MCAR,block,0.3,5,1000x50,14,7,8.0,True,8
diabetes,MCAR,block,0.3,5,1000x50,15,7,8.0,True,8
diabetes,MCAR,block,0.3,5,1000x50,16,7,8.0,True,8
diabetes,MCAR,block,0.3,5,1000x50,17,9,10.0,True,10
diabetes,MCAR,block,0.3,5,1000x50,18,8,9.0,True,9
diabetes,MCAR,block,0.3,5,1000x50,19,7,8.0,True,8
diabetes,MCAR,block,0.5,5,1000x50,0,9,10.0,True,10
diabetes,MCAR,block,0.5,5,1000x50,1,8,9.0,True,9
diabetes,MCAR,block,0.5,5,1000x50,2,9,10.0,True,10
diabetes,MCAR,block,0.5,5,1000x50,3,9,10.0,True,10
diabetes,MCAR,block,0.5,5,1000x50,4,9,10.0,True,10
diabetes,MCAR,block,0.5,5,1000x50,5,7,8.0,True,8
diabetes,MCAR,block,0.5,5,1000x50,6,7,8.0,True,8
diabetes,MCAR,block,0.5,5,1000x50,7,7,8.0,True,8
diabetes,MCAR,block,0.5,5,1000x50,8,8,9.0,True,9
diabetes,MCAR,block,0.5,5,1000x50,9,7,8.0,True,8
diabetes,MCAR,block,0.5,5,1000x50,10,9,10.0,True,10
diabetes,MCAR,block,0.5,5,1000x50,11,7,8.0,True,8
diabetes,MCAR,block,0.5,5,1000x50,12,7,8.0,True,8
diabetes,MCAR,block,0.5,5,1000x50,13,8,9.0,True,9
diabetes,MCAR,block,0.5,5,1000x50,14,7,8.0,True,8
diabetes,MCAR,block,0.5,5,1000x50,15,7,8.0,True,8
diabetes,MCAR,block,0.5,5,1000x50,16,9,10.0,True,10
diabetes,MCAR,block,0.5,5,1000x50,17,8,9.0,True,9
diabetes,MCAR,block,0.5,5,1000x50,18,9,10.0,True,10
diabetes,MCAR,block,0.5,5,1000x50,19,7,8.0,True,8
diabetes,MCAR,random,0.1,5,1000x50,0,8,9.0,True,9
diabetes,MCAR,random,0.1,5,1000x50,1,8,9.0,True,9
diabetes,MCAR,random,0.1,5,1000x50,2,8,9.0,True,9
diabetes,MCAR,random,0.1,5,1000x50,3,8,9.0,True,9
diabetes,MCAR,random,0.1,5,1000x50,4,8,9.0,True,9
diabetes,MCAR,random,0.1,5,1000x50,5,8,9.0,True,9
diabetes,MCAR,random,0.1,5,1000x50,6,8,9.0,True,9
diabetes,MCAR,random,0.1,5,1000x50,7,8,9.0,True,9
diabetes,MCAR,random,0.1,5,1000x50,8,8,9.0,True,9
diabetes,MCAR,random,0.1,5,1000x50,9,8,9.0,True,9
diabetes,MCAR,random,0.1,5,1000x50,10,8,9.0,True,9
diabetes,MCAR,random,0.1,5,1000x50,11,8,9.0,True,9
diabetes,MCAR,random,0.1,5,1000x50,12,8,9.0,True,9
diabetes,MCAR,random,0.1,5,1000x50,13,8,9.0,True,9
diabetes,MCAR,random,0.1,5,1000x50,14,8,9.0,True,9
diabetes,MCAR,random,0.1,5,1000x50,15,8,9.0,True,9
diabetes,MCAR,random,0.1,5,1000x50,16,8,9.0,True,9
diabetes,MCAR,random,0.1,5,1000x50,17,8,9.0,True,9
diabetes,MCAR,random,0.1,5,1000x50,18,8,9.0,True,9
diabetes,MCAR,random,0.1,5,1000x50,19,8,9.0,True,9
diabetes,MCAR,random,0.3,5,1000x50,0,8,9.0,True,9
diabetes,MCAR,random,0.3,5,1000x50,1,8,9.0,True,9
diabetes,MCAR,random,0.3,5,1000x50,2,8,9.0,True,9
diabetes,MCAR,random,0.3,5,1000x50,3,8,9.0,True,9
diabetes,MCAR,random,0.3,5,1000x50,4,8,9.0,True,9
diabetes,MCAR,random,0.3,5,1000x50,5,8,9.0,True,9
diabetes,MCAR,random,0.3,5,1000x50,6,8,9.0,True,9
diabetes,MCAR,random,0.3,5,1000x50,7,8,9.0,True,9
